"title" "year" "length" "budget"
"Kohav Ha'Kahol, Ha-" 1995 86 100000
"Konga" 1961 90 500000
"Kontroll" 2003 107 500000
"Korea" 1995 87 500000
"Krasnaya palatka" 1971 121 10000000
"Krokus: As Long as We Live" 2004 82 200000
"Kronos" 1957 78 160000
"Kruimeltje" 1999 119 5000000
"Krush Groove" 1985 97 3000000
"Kundun" 1997 128 28000000
"Kung Pow: Enter the Fist" 2002 82 10000000
"L.A. Confidential" 1997 138 35000000
"L.A. Knights" 2003 20 15000
"L.A. Twister" 2004 92 450000
"LD 50 Lethal Dose" 2003 97 8000000
"La Cucaracha" 1934 20 50000
"Labyrinth" 1986 101 25000000
"Lady Be Good" 1941 112 863460
"Lady Windermere's Fan" 1925 89 320000
"Lady and the Tramp" 1955 75 4000000
"Lady from Shanghai, The" 1947 79 2000000
"Lady in White" 1988 112 4700000
"Lady of the Lake" 1998 82 60000
"Ladyhawke" 1985 121 20000000
"Ladykillers, The" 2004 104 35000000
"Lair of the White Worm, The" 1988 93 2500000
"Lake Placid" 1999 82 27000000
"Lana's Rain" 2002 107 215000
"Land Before Time, The" 1988 70 12300000
"Land of College Prophets, The" 2005 83 80000
"Land of the Pharaohs" 1955 105 2900000
"Lara Croft Tomb Raider: The Cradle of Life" 2003 117 90000000
"Lara Croft: Tomb Raider" 2001 100 80000000
"Las Vegas Weekend" 1986 83 2000000
"Lashou shentan" 1992 131 4500000
"Last Action Hero" 1993 130 60000000
"Last Big Attraction, The" 1999 90 60000
"Last Breeze of Summer" 1991 30 60000
"Last Castle, The" 2001 131 60000000
"Last Chair" 2003 30 25000
"Last Chase, The" 1981 101 4900000
"Last Days of Pompeii, The" 1935 96 1000000
"Last Dragon, The" 1985 109 10000000
"Last Emperor, The" 1987 219 25000000
"Last Full Measure, The" 2004 18 50000
"Last Horror Film, The" 1982 87 2000000
"Last Horror Movie, The" 2003 80 780000
"Last House on the Left, The" 1972 85 87000
"Last Man Standing" 1996 101 67000000
"Last Movie, The" 1971 108 1000000
"Last Orders" 2001 109 12000000
"Last Party 2000" 2001 90 1000000
"Last Patrol, The" 2000 95 8200000
"Last Picture Show, The" 1971 118 1300000
"Last Resort, The" 1997 86 5000000
"Last Rung On the Ladder, The" 1987 12 1500
"Last Samurai, The" 2003 154 100000000
"Last Seduction, The" 1994 110 2500000
"Last Soviet Movie, The" 2003 80 3500000
"Last Stagecoach West, The" 1957 87 150000
"Last Starfighter, The" 1984 101 15000000
"Last Temptation of Christ, The" 1988 164 7000000
"Last Time I Committed Suicide, The" 1997 92 4000000
"Last Time I Saw Archie, The" 1961 98 2000000
"Last Word" 2002 16 8500
"Last of the Mohicans, The" 1992 117 40000000
"Late Bloomer" 2004 13 12000
"Late Veracity" 2002 20 50000
"Latter Days" 2003 107 850000
"Laughing Dead" 1998 85 200000
"Lawn Dogs" 1997 101 8000000
"Lawnmower Man, The" 1987 12 5000
"Lawnmower Man, The" 1992 140 10000000
"Lawrence of Arabia" 1962 227 15000000
"Laws of Attraction" 2004 90 28000000
"Laws of Gravity" 1992 100 38000
"League of Extraordinary Gentlemen, The" 2003 110 78000000
"League of Their Own, A" 1992 128 40000000
"Learning Curve, The" 2001 113 1000000
"Leather Jacket Love Story" 1997 85 67000
"Leather and Iron" 2002 90 650000
"Leave It!" 2002 28 30000
"Leaving Las Vegas" 1995 111 4000000
"Leftenan Adnan" 2000 127 8000000
"Legacy, The" 1978 102 2500000
"Legal Eagles" 1986 116 35000000
"Legally Blonde" 2001 96 18000000
"Legally Blonde 2: Red, White & Blonde" 2003 95 45000000
"Legend" 1985 89 25000000
"Legend of Bagger Vance, The" 2000 126 60000000
"Legend of Blood Mountain, The" 1965 65 750000
"Legend of Boggy Creek, The" 1973 85 100000
"Legend of Razorback, The" 2002 25 50000
"Legend of the Lone Ranger, The" 1981 98 18000000
"Legend of the Lost" 1957 109 1750000
"Legend of the Mummy" 1997 96 2000000
"Legends of the Fall" 1994 133 30000000
"Leggenda del pianista sull'oceano, La" 1998 120 9000000
"Legion of the Dead" 2001 92 2700000
"Legion of the Night" 1995 85 80000
"Legionnaire" 1998 98 35000000
"Lemony Snicket's A Series of Unfortunate Events" 2004 108 125000000
"Lengua asesina, La" 1996 98 4000000
"Leprechaun" 1993 92 900000
"Leprechaun 2" 1994 86 2000000
"Less Like Me" 2004 121 30000
"Lethal Weapon" 1987 117 15000000
"Lethal Weapon 4" 1998 127 140000000
"Levity" 2003 100 7500000
"Leylasede" 1995 100 700000
"Lian ai zhong de Bao Bei" 2004 95 5000000
"Lianna" 1983 110 300000
"Liar Liar" 1997 86 45000000
"Libera me" 2000 119 4000000
"Liberata Me" 2002 27 66000
"Liberty Bound" 2004 90 100000
"Liberty Stands Still" 2002 92 11000000
"Licence to Kill" 1989 133 40000000
"License Exam" 2004 2 1000
"License to Drive" 1988 88 8000000
"Life" 1999 108 75000000
"Life Aquatic with Steve Zissou, The" 2004 118 25000000
"Life Less Ordinary, A" 1997 103 12000000
"Life and Times of MC Beer Bong, The" 2004 85 1000
"Life as a House" 2001 127 18000000
"Life in Bed" 2003 75 750000
"Life of Brian" 1979 94 4000000
"Life of David Gale, The" 2003 130 50000000
"Life of Jimmy Dolan, The" 1933 89 202000
"Lifeforce" 1985 101 25000000
"Light It Up" 1999 99 13000000
"Light Sleeper" 1992 103 5000000
"Light in the Piazza" 1962 102 553280
"Lightning Over Braddock: A Rustbowl Fantasy" 1988 80 54000
"Lightning Over Water" 1980 116 700000
"Lights of New York" 1928 57 75000
"Like Mike" 2002 99 30000000
"Lilies of the Field" 1963 94 240000
"Lilo & Stitch" 2002 86 80000000
"Limbo" 1999 126 8300000
"Limey, The" 1999 89 9000000
"Line of Masculinity, The" 2003 4 1000
"Lion King, The" 1994 89 79300000
"Lionheart" 1990 105 2500000
"Liquid Lips" 1976 73 12000
"List of Adrian Messenger, The" 1963 98 3000000
"Lithivm" 1998 127 500000
"Little American, The" 1917 80 166949
"Little Black Book" 2004 111 35000000
"Little Boy Lost" 1978 90 395000
"Little Fugitive" 1953 80 30000
"Little Giant, The" 1933 76 197000
"Little Minister, The" 1934 110 650000
"Little Nellie Kelly" 1940 98 665300
"Little Nicky" 2000 90 80000000
"Little Odessa" 1994 98 2300000
"Little Secrets" 2001 97 2500000
"Little Shop of Horrors" 1986 94 30000000
"Little Shop of Horrors, The" 1960 70 27000
"Little Vampire, The" 2000 91 22000000
"Little Women" 1933 117 424000
"Littlest Cowboy, The" 2003 19 10000
"Live and Let Die" 1973 121 7000000
"Livers Ain't Cheap" 1997 89 2500000
"Living Daylights, The" 1987 130 30000000
"Living In Missouri" 2001 90 10000
"Living Life" 2004 88 150000
"Living Out Loud" 1998 103 12000000
"Living and Dining" 2003 92 100000
"Lizzie" 2001 87 500000
"Lizzie McGuire Movie, The" 2003 94 17000000
"Llamada de apareamiento" 2004 3 2000
"Loaded Weapon 1" 1993 84 13000000
"Lobo Paramilitary Christmas Special, The" 2002 13 2400
"Logan's Run" 1976 120 9000000
"Lolita" 1962 152 2000000
"Lolita" 1997 137 58000000
"Lone Star" 1996 135 5000000
"Lone Wolf McQuade" 1983 105 5000000
"Lonelyland" 2002 15 7000
"Lonesome Jim" 2005 91 500000
"Long Gray Line, The" 1955 138 1748000
"Long Kiss Goodnight, The" 1996 120 65000000
"Long Riders, The" 1980 99 10000000
"Longest Day, The" 1962 180 8000000
"Look Who's Talking" 1989 93 7500000
"Lookin' to Get Out" 1982 105 17000000
"Looking Out" 2002 15 42000
"Looney Tunes: Back in Action" 2003 91 80000000
"Lord of the Rings, The" 1978 132 8000000
"Lord of the Rings: The Fellowship of the Ring, The" 2001 208 93000000
"Lord of the Rings: The Return of the King, The" 2003 251 94000000
"Lord of the Rings: The Two Towers, The" 2002 223 94000000
"Lorna" 1964 78 60000
"Loser" 1996 85 38000
"Loser" 2000 92 20000000
"Losin' It" 1983 100 7000000
"Losing Isaiah" 1995 111 17000000
"Losing Lois Lane" 2004 20 6000
"Loss of Sexual Innocence, The" 1999 106 4000000
"Lost Boundaries" 1949 99 250000
"Lost Highway" 1997 135 15000000
"Lost Horizon" 1937 118 2000000
"Lost Horizon" 1973 150 12000000
"Lost Patrol, The" 1934 66 254000
"Lost Souls" 2000 97 28000000
"Lost Weekend, The" 1945 101 1250000
"Lost World: Jurassic Park, The" 1997 129 73000000
"Lost in Alaska" 1952 80 672000
"Lost in Space" 1998 130 80000000
"Lost in Translation" 2003 102 4000000
"Lost/Found" 2003 70 15000
"Lot Like Love, A" 2005 107 30000000
"Louisiana Story" 1948 78 258000
"Love" 2005 90 350000
"Love & Basketball" 2000 124 15000000
"Love Disease" 2000 108 60000
"Love God" 1997 82 22000
"Love Letter, The" 1999 88 15000000
"Love Letters" 1984 98 550000
"Love Liza" 2002 90 1000000
"Love Me Tender" 1956 89 1000000
"Love Object" 2003 88 1000000
"Love Parade, The" 1929 107 650000
"Love Stinks" 1999 94 4000000
"Love Story" 1970 99 2200000
"Love and Death" 1975 85 3000000
"Love and Other Catastrophes" 1996 78 250000
"Love in the Afternoon" 1957 125 2100000
"Love's Labour's Lost" 2000 93 13000000
"Love, Ludlow" 2005 97 75000
"Lovely & Amazing" 2001 91 250000
"Lover Girl" 1997 87 1000000
"Lu mao zi" 2004 100 500000
"Lucky 13" 2004 95 1200000
"Lucky Break" 2001 108 6000000
"Lucky Lady" 1975 118 13000000
"Lucky Numbers" 2000 105 65000000
"Luminarias" 2000 100 1000000
"Lumpia" 2003 80 1000
"Lunatics: A Love Story" 1991 87 850000
"Lunes al sol, Los" 2002 113 4000000
"Lurking Fear" 1994 76 1000000
"Luz prodigiosa, La" 2003 108 2000000
"M.D.C. - Maschera di cera" 1997 98 3000000
"MASH" 1970 112 3500000
"Macabre" 1958 72 150000
"Machuca" 2004 121 1500000
"Mackenna's Gold" 1969 136 7000000
"Macon County Line" 1974 89 225000
"Mad City" 1997 115 50000000
"Mad Dogs" 2002 91 1400000
"Mad Love" 1935 68 257502
"Mad Max" 1979 93 350000
"Madadayo" 1993 134 11900000
"Madam Satan" 1930 115 980000
"Madchen's Uniform" 2004 13 1000
"Made" 2001 94 5000000
"Made Incorrect" 2002 18 25000
"Made in U.S.A." 1966 90 50000
"Madhouse" 2004 91 3000000
"Madness and Genius" 2003 103 19000
"Madonna: Truth or Dare" 1991 114 4500000
"Magic Roundabout, The" 2005 85 20000000
"Magic of Marciano, The" 2000 100 4500000
"Magnetic Monster, The" 1953 76 105000
"Magnificent Ambersons, The" 1942 131 850000
"Magnolia" 1999 188 37000000
"Maid in Manhattan" 2002 105 55000000
"Mailman, The" 2004 85 75000
"Majestic, The" 2001 156 72000000
"Major Dundee" 1965 152 3800000
"Major League" 1989 107 11000000
"Major and the Minor, The" 1942 100 928000
"Majorettes, The" 1986 92 85000
"Mala Noche" 1985 78 25000
"Mala nocna muzika" 2002 95 200000
"Mala racha" 2001 65 70000
"Malcolm X" 1992 202 34000000
"Male Order" 2001 23 10000
"Malibu Express" 1985 105 500000
"Malibu's Most Wanted" 2003 86 16000000
"Mallrats" 1995 94 6100000
"Maltese Falcon, The" 1941 101 300000
"Mama" 1999 100 3000000
"Mamay" 2003 80 200000
"Mame" 1974 132 12000000
"Mammoth" 2005 8 2000
"Man Apart, A" 2003 110 36000000
"Man Betrayed, A" 1941 82 250000
"Man Called... Rainbo, A" 1990 99 35000
"Man From Planet X, The" 1951 70 50000
"Man Who Knew Too Much, The" 1956 120 2500000
"Man Who Shot Liberty Valance, The" 1962 123 3200000
"Man Who Wasn't There, The" 2001 118 20000000
"Man Who Would Be King, The" 1975 129 8000000
"Man Woman Film" 1999 95 35000
"Man for All Seasons, A" 1966 120 3900000
"Man from Elysian Fields, The" 2001 106 6500000
"Man from Hong Kong, The" 1975 111 450000
"Man in the Bath, The" 2001 7 10000
"Man in the Iron Mask, The" 1998 132 35000000
"Man of Conquest" 1939 105 1000000
"Man of La Mancha" 1972 132 12000000
"Man of the House" 2005 97 40000000
"Man on Fire" 2004 146 70000000
"Man on the Moon" 1999 118 52000000
"Man to Man" 2005 122 30000000
"Man with a Plan" 1996 89 100000
"Man with the Golden Gun, The" 1974 125 13000000
"Man's Best Friend" 1993 95 6000000
"Man-Thing" 2005 96 30000000
"Manhattan Baby" 1982 89 300000
"Manhattan Murder Mystery" 1993 104 13500000
"Manhunter" 1986 124 15000000
"Maniac" 1934 51 5000
"Maniac" 1980 85 350000
"Maniac Cop" 1988 85 1100000
"Maniac Cop 2" 1990 90 4000000
"Manito" 2002 79 24000
"Manitou, The" 1978 104 3000000
"Mannequin: On the Move" 1991 95 13000000
"Manners of Dying" 2004 104 750000
"Manny & Lo" 1996 88 500000
"Mantis in Lace" 1968 68 35000
"Maquinista, El" 2004 102 5000000
"March or Die" 1977 104 9000000
"Marci X" 2003 80 20000000
"Marco Polo: Haperek Ha'aharon" 1996 127 3300000
"Maria Chapdelaine" 1983 107 4600000
"Mariachi, El" 1992 81 220000
"Marie Antoinette" 1938 160 2926000
"Marilyn's Man" 2004 92 825000
"Mark of Cain" 1985 90 1000000
"Mark of the Vampire" 1935 60 305177
"Marnie" 1964 130 3000000
"Marooned" 1969 134 8000000
"Marriage Circle, The" 1924 92 212000
"Mars" 1998 91 4500000
"Mars" 2004 100 2000000
"Mars Attacks!" 1996 106 70000000
"Martin" 1977 95 800000
"Martin Lawrence Live: Runteldat" 2002 113 3000000
"Marty" 1955 94 343000
"Marvin's Room" 1996 98 23000000
"Mary Jane's Not a Virgin Anymore" 1997 98 50000
"Mary Reilly" 1996 108 47000000
"Mask of Fu Manchu, The" 1932 68 327627
"Mask of Zorro, The" 1998 136 65000000
"Mask, The" 1961 83 250000
"Mask, The" 1994 97 18000000
"Master Gunfighter, The" 1975 121 3500000
"Master and Commander: The Far Side of the World" 2003 138 150000000
"Master of Disguise, The" 2002 80 16000000
"Masters of the Universe" 1987 106 17000000
"Mata Hari" 1931 89 558000
"Matador, El" 2003 90 26000
"Match King, The" 1932 79 165000
"Matewan" 1987 132 4000000
"Matilda" 1996 102 36000000
"Matrix Reloaded, The" 2003 138 127000000
"Matrix Revolutions, The" 2003 125 110000000
"Matrix, The" 1999 136 63000000
"Maurice" 1987 140 2600000
"Max Keeble's Big Move" 2001 86 12000000
"Maximum Overdrive" 1986 97 10000000
"May" 2002 93 1700000
"Mayerling" 1968 140 5000000
"Mayor of Hell, The" 1933 90 229000
"McHale's Navy" 1997 108 42000000
"McLintock!" 1963 127 2000000
"Me, Myself & Irene" 2000 116 51000000
"Mean Creek" 2004 89 500000
"Mean Girls" 2004 97 17000000
"Mean People Suck" 2003 8 10000
"Mean Streets" 1973 107 150000
"Meaning of Life, The" 1983 112 9000000
"Medallion, The" 2003 88 41000000
"Medicine Man" 1992 106 40000000
"Medium Cool" 1969 110 800000
"Meet Joe Black" 1998 178 90000000
"Meet Me in St. Louis" 1944 113 1707561
"Meet the Applegates" 1991 90 1000
"Meet the Deedles" 1998 93 24000000
"Meet the Feebles" 1989 94 750000
"Meet the Fockers" 2004 115 80000000
"Meet the Hollowheads" 1989 86 4800000
"Meet the Parents" 2000 108 55000000
"Megaforce" 1982 99 20000000
"Megiddo: The Omega Code 2" 2001 104 22000000
"Meili xin shijie" 1999 100 300000
"Memento" 2000 113 5000000
"Memoirs of an Evil Stepmother" 2004 18 20000
"Memoirs of an Invisible Man" 1992 99 40000000
"Memron" 2004 79 65000
"Men in Black" 1997 98 90000000
"Men in Black II" 2002 88 140000000
"Men in Love" 1989 85 350000
"Men of Action" 2003 15 30000
"Men of Honor" 2000 129 32000000
"Men of War" 1994 99 12000000
"Men with Brooms" 2002 102 7500000
"Menace II Society" 1993 97 3500000
"Meng long guojiang" 1972 90 130000
"Mercano, el marciano" 2002 72 600000
"Merchant of Venice, The" 2004 138 30000000
"Mercury Rising" 1998 108 60000000
"Mercy" 2003 112 5000
"Mercy Streets" 2000 106 600000
"Merry Widow, The" 1925 137 608016
"Mesmerized" 1986 94 5654930
"Message in a Bottle" 1999 126 30000000
"Message, The" 1976 177 10000000
"Meteor" 1979 107 16000000
"Metoroporisu" 2001 107 14500000
"Metro" 1997 117 55000000
"Metropolis Apocalypse" 1988 11 20000
"Metropolitan" 1990 98 430000
"Mexican Dream, The" 2003 28 19000
"Mexican, The" 2001 123 38000000
"Michael Collins" 1996 133 25000000
"Michael Moore Hates America" 2004 125 200000
"Mickey" 1918 93 125000
"Mickey" 2004 90 6000000
"Mickey Blue Eyes" 1999 102 40000000
"Midnight Clear, A" 1992 107 5000000
"Midnight Cowboy" 1969 113 3600000
"Midnight Days" 2001 60 10000
"Midnight Express" 1978 121 2300000
"Midnight Run" 1988 126 30000000
"Midnight Sun" 2003 18 4000
"Midnight in the Garden of Good and Evil" 1997 155 30000000
"Midwestern Myth" 2003 89 250000
"Mighty Aphrodite" 1995 95 15000000
"Mighty Joe Young" 1998 114 49000000
"Mildred Pierce" 1945 111 1500000
"Miles Ahead" 2004 83 55000
"Milking the Chicken" 2003 35 1000
"Milky Way, The" 1936 89 1032000
"Miller's Crossing" 1990 115 14000000
"Million Dollar Baby" 2004 132 30000000
"Million Dollar Hotel, The" 2000 122 8000000
"Milpitas Monster, The" 1975 80 11000
"Mimic" 1997 105 25000000
"Mimmo & Paulie" 2004 29 12000
"Mind's Eye, The" 2005 96 750000
"MindField" 2003 63 6000
"Mindhunters" 2004 102 27000000
"Minion, The" 1998 95 12000000
"Minnie and Moskowitz" 1971 114 900000
"Minority Report" 2002 145 102000000
"Mio West, Il" 1998 95 10000000
"Miracle Goes On, The" 1976 97 850000
"Miracle Mile" 1988 87 3000000
"Miracle Rider, The" 1935 306 80000
"Miracle Worker, The" 1962 106 500000
"Mirror Has Two Faces, The" 1996 122 42000000
"Misadventures of Margaret, The" 1998 80 5000000
"Misbehavers, The" 2004 120 10000
"Misdemeanor" 2002 13 16000
"Misery" 1990 107 20000000
"Misfits, The" 1961 120 4000000
"Mishima: A Life in Four Chapters" 1985 121 5000000
"Miss Cast Away" 2004 90 2000000
"Miss Congeniality" 2000 109 45000000
"Miss Pacific Fleet" 1935 66 202798
"Miss Supreme Queen" 1999 24 50000
"Missile to the Moon" 1958 78 65000
"Mission to Mars" 2000 113 90000000
"Mission to Moscow" 1943 124 1516000
"Mission: Impossible" 1996 110 75000000
"Mission: Impossible II" 2000 123 125000000
"Mississippi Burning" 1988 128 15000000
"Missy" 2001 71 5000
"Mix" 2004 97 1000000
"Mix Tape" 2003 97 15000
"Mo' Better Blues" 1990 130 10000000
"Mo' Money" 1992 97 15000000
"Moby Dick" 1956 115 4500000
"Mockingbird Don't Sing" 2001 99 3000000
"Modern Times" 1936 87 1500000
"Modern Vampires" 1998 91 2000000
"Modesty Blaise" 1966 119 3000000
"Modigliani" 2004 128 12000000
"Mole People, The" 1956 77 200000
"Molly" 1999 102 21000000
"Molly Maguires, The" 1970 124 11000000
"Moment of Grace, A" 2004 20 50000
"Mommie Dearest" 1981 129 5000000
"Mommy" 1995 89 700000
"Mona Lisa Smile" 2003 117 65000000
"Mondo Topless" 1966 60 12000
"Mondo Trasho" 1969 95 2100
"Money Pit, The" 1986 91 10000000
"Money Talks" 1997 97 25000000
"Money Train" 1995 103 68000000
"Monkey Shines" 1988 113 7000000
"Monkeybone" 2001 92 75000000
"Monsieur Klein" 1976 123 3500000
"Monsieur Verdoux" 1947 114 2000000
"Monsoon Wife" 2004 92 1000000
"Monster" 2003 109 8000000
"Monster That Challenged the World, The" 1957 83 254000
"Monster and the Peanut, The" 2004 18 10000
"Monster from the Ocean Floor" 1954 51 12000
"Monster's Ball" 2001 112 4000000
"Monster-in-Law" 2005 102 60000000
"Monsteret" 2002 22 130000
"Monsters, Inc." 2001 92 115000000
"Montana" 1998 92 4000000
"Monte Carlo" 1930 90 726465
"Monty Python and the Holy Grail" 1975 91 250000
"Moon Over Harlem" 1939 70 8000
"Moon Zero Two" 1969 100 2000000
"Moon and Sixpence, The" 1943 89 401000
"Moonlight Mile" 2002 117 20000000
"Moonlight Resurrection" 1988 11 25000
"Moonlight by the Sea" 2003 92 10000
"Moonraker" 1979 126 34000000
"Moonrise" 1948 90 849452
"Moonshine Mountain" 1964 90 45000
"More American Graffiti" 1979 110 3000000
"Morning Guy, The" 2003 5 5000
"Morphin(e)" 2005 20 8000
"Mortal Kombat" 1995 101 20000000
"Mortal Kombat: Annihilation" 1997 91 30000000
"Mosquito" 1995 92 200000
"Mosquito Coast, The" 1986 117 16000000
"Motel Hell" 1980 102 3000000
"Mother Machree" 1928 75 750000
"Mother Night" 1996 114 5500000
"Mother's Day" 1980 98 150000
"Mothering Heart, The" 1913 23 1800
"Mothman Prophecies, The" 2002 119 42000000
"Motor Psycho" 1965 74 38000
"Moulin Rouge" 1952 119 1500000
"Moulin Rouge!" 2001 127 52500000
"Mousehunt" 1997 99 38000000
"Movie Crazy" 1932 98 675000
"Moving" 2002 97 9000
"Moving Malcolm" 2003 83 1000000
"Mr 3000" 2004 104 30000000
"Mr. Deeds" 2002 96 50000000
"Mr. Smith Goes to Washington" 1939 129 1500000
"Mrs. Winterbourne" 1996 105 25000000
"Ms. 45" 1981 81 62000
"Much Ado" 2003 86 10000
"Much Ado About Nothing" 1993 111 8000000
"Mudge Boy, The" 2003 94 800000
"Mudhoney" 1965 92 60000
"Muertos de risa" 1999 111 3500000
"Mujeres al borde de un ataque de nervios" 1988 90 700000
"Mulan" 1998 88 70000000
"Mulholland Dr." 2001 147 15000000
"Mullet" 2001 89 1000000
"Multi-Facial" 1994 20 3000
"Multiple Maniacs" 1970 90 5000
"Multiplicity" 1996 117 45000000
"Mumford" 1999 112 28000000
"Mummy Returns, The" 2001 130 98000000
"Mummy, The" 1932 73 196000
"Mummy, The" 1999 124 76000000
"Muppets From Space" 1999 88 24000000
"Murbah Swamp Beer" 2002 7 3000
"Murder by Numbers" 2002 120 50000000
"Murder-Set-Pieces" 2004 105 2000000
"Murders in the Rue Morgue" 1932 61 190000
"Murders in the Rue Morgue" 1971 87 700000
"Muriel's Wedding" 1994 106 3000000
"Musa" 2001 132 60000000
"Muse, The" 1999 97 15000000
"Music of the Heart" 1999 124 27000000
"Musketeer, The" 2001 104 40000000
"Mutant Aliens" 2001 81 200000
"Mutant Species" 1995 100 1750000
"Mute Witness" 1994 95 2000000
"Mutiny on the Bounty" 1935 127 1950000
"Mutiny on the Bounty" 1962 178 19000000
"My Beautiful Laundrette" 1985 97 400000
"My Best Friend's Wedding" 1997 105 46000000
"My Best Girl" 1927 80 483103
"My Big Fat Greek Wedding" 2002 95 5000000
"My Body's Revolting" 2002 15 12260
"My Boss's Daughter" 2003 90 14000000
"My Cousin Vinny" 1992 120 11000000
"My Dog Skip" 2000 95 7000000
"My Fair Lady" 1964 170 17000000
"My Family" 1995 128 5500000
"My Father's Son" 2002 80 60000
"My Favorite Martian" 1999 93 60000000
"My Fellow Americans" 1996 101 21500000
"My Girl" 1991 102 16500000
"My Life's in Turnaround" 1993 84 22000
"My Little Eye" 2002 92 3000000
"My Own Private Idaho" 1991 102 2500000
"My Samurai" 1992 87 700000
"My Stepmother Is an Alien" 1988 105 16000000
"My X-Girlfriend's Wedding Reception" 2001 88 500000
"Myra Breckinridge" 1970 91 5000000
"Mysterious Island, The" 1929 95 1130000
"Mysterious Lady, The" 1928 89 337000
"Mystery Men" 1999 121 68000000
"Mystery Mountain" 1934 223 80000
"Mystery Train" 1989 113 2800000
"Mystery, Alaska" 1999 119 28000000
"Mystic Masseur, The" 2001 117 2500000
"Mystic Pizza" 1988 104 6000000
"Mystic River" 2003 137 30000000
"N.B.T." 2003 90 65000
"Nadar solo" 2003 94 20000
"Nadie conoce a nadie" 1999 108 3000000
"Nadja" 1994 93 1000000
"Naked" 1999 40 3000
"Naked Gun 33 1/3: The Final Insult" 1994 83 30000000
"Naked Paradise" 1957 68 90000
"Naked Prey, The" 1966 96 900000
"Naked Zoo, The" 1971 78 250000
"Naken" 2000 94 25000
"Nakta(dul)" 2002 90 75000
"Nam's Angels" 1970 95 350000
"Name der Rose, Der" 1986 130 20000000
"Names of Sin" 1975 22 35000
"Nanny, The" 1965 91 1300000
"Nanook of the North" 1922 79 53000
"Napoleon Dynamite" 2004 86 400000
"Naqoyqatsi" 2002 89 3000000
"Narc" 2002 105 7500000
"Narrow Corner, The" 1933 69 240000
"Nasty Burgers" 1993 70 50000
"National Treasure" 2004 131 100000000
"Native Son" 1986 111 2000000
"Nattens engel" 1998 98 700000
"Natural Born Killers" 1994 122 50000000
"Natural, The" 1984 134 28000000
"Naturally Native" 1998 107 700000
"Navigator, The" 1924 75 220000
"Navy Blues" 1941 108 1200000
"Navy vs. the Night Monsters, The" 1966 87 178000
"Near Dark" 1987 90 5000000
"Necromania: A Tale of Weird Love" 1971 54 7000
"Necronomicon" 1994 96 4000000
"Negotiator, The" 1998 139 50000000
"Neighbors" 1981 94 8500000
"Nemesis Game" 2003 92 3000000
"Neon Maniacs" 1986 91 1500000
"Neredesin Firuze" 2004 128 1500000
"Net, The" 1995 114 22000000
"Netherbeast of Berm-Tech Industries, Inc., The" 2004 5 3000
"Netto Perde Sua Alma" 2001 102 1300000
"Network" 1976 121 3800000
"Never Again" 2001 98 500000
"Never Among Friends" 2002 78 7000
"Never Been Thawed" 2005 87 35000
"Never Let Me Go" 1953 69 1500000
"Never Say Never Again" 1983 121 36000000
"NeverEnding Story II: The Next Chapter, The" 1990 89 36000000
"NeverEnding Story III, The" 1994 95 17000000
"New Adventures of Pinocchio, The" 1999 94 10000000
"New Guy" 2003 85 55000
"New Guy, The" 2002 89 13000000
"New Jack City" 1991 97 8500000
"New Jersey Drive" 1995 98 5000000
"New York Stories" 1989 124 15000000
"New York, New York" 1977 163 14000000
"News for the Church" 2004 19 50000
"Newsies" 1992 121 15000000
"Newton Boys, The" 1998 113 27000000
"Next Best Thing, The" 2000 108 25000000
"Next Friday" 2000 98 9500000
"Next Step, The" 1997 96 450000
"Next Stop Wonderland" 1998 104 1000000
"Niagara" 1953 92 1250000
"Nicholas Nickleby" 2002 132 10000000
"Nickel Children, The" 2005 95 2000000
"Nickelodeon" 1976 121 9000000
"Night Fright" 1967 65 18000
"Night Shadows" 1984 99 2500000
"Night Train to Mundo Fine" 1966 89 30000
"Night at the Roxbury, A" 1998 81 17000000
"Night of Dark Shadows" 1971 129 900000
"Night of a Thousand Screams" 2001 87 175000
"Night of the Blood Beast" 1958 62 68000
"Night of the Demons" 1988 90 1200000
"Night of the Dog" 2005 86 5000
"Night of the Eagle" 1962 90 200000
"Night of the Hunter, The" 1955 93 795000
"Night of the Iguana, The" 1964 112 3000000
"Night of the Living Dead" 1968 90 114000
"Night of the Living Dead" 1990 88 4200000
"Night of the Scarecrow" 1995 94 2000000
"Night of the Snakehead Fish" 2003 54 1500
"Night to Remember, A" 1958 123 1680000
"Nightmare Before Christmas, The" 1993 76 18000000
"Nightmare On Elm Street 3: Dream Warriors, A" 1987 88 4000000
"Nightmare On Elm Street 4: The Dream Master, A" 1988 99 13000000
"Nightmare On Elm Street Part 2: Freddy's Revenge, A" 1985 87 3000000
"Nightmare On Elm Street, A" 1984 91 1800000
"Nightmare On Elm Street: The Dream Child, A" 1989 89 6000000
"Nightmare Sisters" 1987 83 40000
"Nikmato Shel Itzik Finkelstein" 1993 83 500000
"Nikos" 2003 100 65000
"Nil by Mouth" 1997 128 9000000
"Ninja Bachelor Party" 1991 30 5000
"Ninotchka" 1939 100 1365000
"Ninth Gate, The" 1999 133 38000000
"Nisuim Fiktiveem" 1988 90 25000
"Nixon" 1995 212 50000000
"No Blade of Grass" 1970 96 1500000
"No Code of Conduct" 1998 95 12000000
"No Escape" 1994 118 20000000
"No Looking Back" 1998 96 5000000
"No More Excuses" 1968 62 12000
